Date,League,Game_ID,Pick,Odds_American,Implied_Prob,Model_Prob,Edge_%,Confidence_Tier,Predicted Outcome,Factors,Final Box Score,Result
2025-11-02,NFL,SGP of Below 4,SGP of Below 4,850,0.105,0.105,0,🟡 Low,,,"three legs loss, one leg win - exclude from model calibration, self made pick",Win
2025-11-02,NFL,Jaxon Smith-Njigba O 99.5 Rec yds,Jaxon Smith-Njigba O 99.5 Rec yds,-115,0.535,0.535,0,🟡 Low,,Opposing defense allows explosive pass plays; Njigba’s role increased with WR injuries.,"8 rec, 129 rec yds",Win
2025-11-02,NFL,SEA vs WAS Under 48.5,SEA vs WAS Under 48.5,-110,0.524,0.524,0,🟡 Low,,Projected lower pace; both teams trending under; weather fair.,52,Loss
2025-11-02,NFL,Jayden Daniels O 224.5 Pass Yds,Jayden Daniels O 224.5 Pass Yds,-115,0.535,0.535,0,🟡 Low,,"Facing below-average pass defense, model expects spike in pass attempts.","16 completions, 22 attempts, 153 passing yards",Loss
2025-11-02,NFL,Kenneth Walker III Over 53.5 Rush Yds,Kenneth Walker III Over 53.5 Rush Yds,-118,0.541,0.541,0,🟡 Low,,"Opponent run defense below NFL average, Walker fully healthy.","11 carries, 42 rushing yards",Loss
2025-11-02,NFL,Saints -14,Saints -14,-667,0.87,0.86,-1,🔵 High,,"Saints defense top-8, opponent missing skill position starters.","Rams 34, Saints 10",Loss
2025-11-02,NFL,Packers -13.5,Packers -13.5,-400,0.8,0.73,-7,🟢 Med,,"Packers injury issues at WR, but opponent severely outmatched per models.","Panthers 16, Packers 13",Loss
2025-11-02,NFL,Colts ML + Taylor TD,Colts ML + Taylor TD,110,0.476,0.48,0.4,🟡 Low,,Taylor with favorable rushing matchup; opponent defense bottom-5 EPA vs rush.,"Colts 20, Steelers 27; Taylor no TD",Loss
2025-11-02,NFL,Taylor Anytime TD,Taylor Anytime TD,180,0.357,0.54,18.3,🟡 Low,,Taylor gets red zone volume; OL vs DL advantage for Colts is pronounced,No TD,Loss
2025-11-02,NFL,Pittman Jr Anytime TD,Pittman Jr Anytime TD,620,0.139,0.22,8.1,🟡 Low,,WR1 vs secondary allowing high completion %; Pittman used in red zone.,"9 rec, 115 yds, no TD",Loss
2025-11-02,NFL,Patriots -4.5,Patriots -4.5,-110,0.524,0.66,13.6,🟢 Med,,"Defense projects well, opponent missing starting RB, strong coaching edge","Patriots 24, Falcons 23",Win
2025-11-02,NFL,Chargers -9.5,Chargers -9.5,-110,0.524,0.66,13.6,🟢 Med,,"Chargers passing attack can exploit opponent’s secondary, model sees big upside.","Chargers 27, Titans 20",Win
2025-11-02,NFL,49ers -2.5,49ers -2.5,-110,0.524,0.64,11.6,🟢 Med,,"49ers OL health improving; starters back, opponent pass rush below average.","49ers 34, Giants 24",Win
2025-11-02,NFL,Bills +2,Bills +2,105,0.488,0.59,10.2,🟡 Low,,"Bills offense hot streak, opposing defense missing top CBs.","Bills 28, Chiefs 21",Win
2025-11-02,NFL,Lions -8.5,Lions -8.5,-115,0.535,0.62,8.5,🟢 Med,,"Offense projects for 28+; opponent below-average defensive metrics, no key injuries.","Vikings 27, Lions 24",Loss
2025-11-02,NFL,Colts -3.5,Colts -3.5,-115,0.535,0.62,8.5,🟢 Med,,"Colts healthy, opponent missing starting QB; trend line favors Colts' defense.","Colts 20, Steelers 27",Loss
2025-11-02,NFL,Seahawks -3,Seahawks -3,110,0.476,0.61,13.4,🟡 Low,,"Seahawks defense soft, but opponent missing WR1; weather neutral.","Seahawks 38, Commanders 14",Win
2025-11-02,NFL,Bears -2.5,Bears -2.5,-110,0.524,0.6,7.6,🟡 Low,,"Bears offense streaky, opponent poor pass rush, weather windy.","Bengals 47, Bears 42",Loss
2025-11-02,NFL,Jaguars -2.5,Jaguars -2.5,-110,0.524,0.6,7.6,🟡 Low,,"Jaguars QB back from injury, facing defense soft against play action.","Jaguars 30, Raiders 29 (OT)",Loss
2025-11-02,NFL,Texans -1.5,Texans -1.5,-110,0.524,0.56,3.6,🟡 Low,,"Texans D-line strong vs run, facing turnover-prone QB.","Broncos 18, Texans 15",Loss
2025-11-02,NFL,Panthers Over 44.5,Panthers Over 44.5,105,0.488,0.66,17.2,🟢 Med,,"Opponent defense rates poorly against explosive plays, weather clear, both offenses capable of quick scores.",29 pts: Under,Loss
2025-11-02,NFL,Texans Under 39.5,Texans Under 39.5,-115,0.535,0.61,7.5,🟡 Low,,"Texans offense struggling, opponent’s secondary ranked top 8, returns from injury bolster under.",18-15 final,Win
2025-11-02,NFL,Bears Over 51.0,Bears Over 51.0,110,0.476,0.61,13.4,🟡 Low,,"Bears trending over, matchup with fast-paced offense on other side; warm weather helps scoring.",89 points total,Win
